chromosome,start,end,width,strand,name,geneStart,geneEnd,geneLength,geneId,distanceToTSS
AaegL5_1,1425145,1425376,232,*,aaeBF_Ac_rep12-kd-q5_peak_33,1363446,1386713,23268,AAEL011385,61699
AaegL5_1,1435229,1435545,317,*,aaeBF_Ac_rep12-kd-q5_peak_34,1363446,1386713,23268,AAEL011385,71783
AaegL5_1,1457696,1458183,488,*,aaeBF_Ac_rep12-kd-q5_peak_35,1363446,1386713,23268,AAEL011385,94250
AaegL5_1,1458385,1458814,430,*,aaeBF_Ac_rep12-kd-q5_peak_36,1363446,1386713,23268,AAEL011385,94939
AaegL5_1,1487346,1487633,288,*,aaeBF_Ac_rep12-kd-q5_peak_37,1569995,1988248,418254,AAEL012233,-82362
AaegL5_1,1488557,1488802,246,*,aaeBF_Ac_rep12-kd-q5_peak_38,1569995,1988248,418254,AAEL012233,-81193
AaegL5_1,2150934,2151140,207,*,aaeBF_Ac_rep12-kd-q5_peak_55,2260294,3023816,763523,AAEL019446,-109154
AaegL5_1,2151409,2151892,484,*,aaeBF_Ac_rep12-kd-q5_peak_56,2260294,3023816,763523,AAEL019446,-108402
AaegL5_1,4029174,4029504,331,*,aaeBF_Ac_rep12-kd-q5_peak_95,4090222,4124232,34011,AAEL009762,-60718
AaegL5_1,7659716,7659882,167,*,aaeBF_Ac_rep12-kd-q5_peak_122,7501906,7502829,924,AAEL026268,-156887
AaegL5_1,9531503,9531674,172,*,aaeBF_Ac_rep12-kd-q5_peak_145,9441575,9441969,395,AAEL027456,-89534
AaegL5_1,9848463,9848677,215,*,aaeBF_Ac_rep12-kd-q5_peak_147,9782297,9783068,772,AAEL020980,66166
AaegL5_1,27479844,27480232,389,*,aaeBF_Ac_rep12-kd-q5_peak_332,27539116,27719216,180101,AAEL022743,-58884
AaegL5_1,31540619,31540853,235,*,aaeBF_Ac_rep12-kd-q5_peak_378,31637424,31692333,54910,AAEL020033,-96571
AaegL5_1,35222233,35222507,275,*,aaeBF_Ac_rep12-kd-q5_peak_420,35282691,35283479,789,AAEL023806,-60184
AaegL5_1,39588150,39588484,335,*,aaeBF_Ac_rep12-kd-q5_peak_480,39772399,39773142,744,AAEL021973,-183915
AaegL5_1,40638077,40638257,181,*,aaeBF_Ac_rep12-kd-q5_peak_493,40571502,40572202,701,AAEL026398,66575
AaegL5_1,41291298,41291465,168,*,aaeBF_Ac_rep12-kd-q5_peak_498,41193952,41236180,42229,AAEL024438,97346
AaegL5_1,41916847,41917062,216,*,aaeBF_Ac_rep12-kd-q5_peak_499,42070057,42070950,894,AAEL027294,153888
AaegL5_1,42186019,42186575,557,*,aaeBF_Ac_rep12-kd-q5_peak_500,42268258,42288972,20715,AAEL007619,-81683
AaegL5_1,46728110,46728327,218,*,aaeBF_Ac_rep12-kd-q5_peak_538,46645839,46664822,18984,AAEL007458,82271
AaegL5_1,46835443,46835787,345,*,aaeBF_Ac_rep12-kd-q5_peak_539,46893559,46907452,13894,AAEL023976,71665
AaegL5_1,51081322,51081560,239,*,aaeBF_Ac_rep12-kd-q5_peak_567,50978048,50987655,9608,AAEL010557,-93667
AaegL5_1,53503668,53503894,227,*,aaeBF_Ac_rep12-kd-q5_peak_600,53556212,53556907,696,AAEL022106,53013
AaegL5_1,58712154,58712361,208,*,aaeBF_Ac_rep12-kd-q5_peak_643,58798630,58800576,1947,AAEL009018,88215
AaegL5_1,63386871,63387079,209,*,aaeBF_Ac_rep12-kd-q5_peak_689,63402714,63439106,36393,AAEL007892,52027
AaegL5_1,64802440,64802741,302,*,aaeBF_Ac_rep12-kd-q5_peak_723,64644151,64744225,100075,AAEL013684,-58215
AaegL5_1,64813575,64813831,257,*,aaeBF_Ac_rep12-kd-q5_peak_724,64644151,64744225,100075,AAEL013684,-69350
AaegL5_1,64828163,64828380,218,*,aaeBF_Ac_rep12-kd-q5_peak_725,64644151,64744225,100075,AAEL013684,-83938
AaegL5_1,64835529,64835958,430,*,aaeBF_Ac_rep12-kd-q5_peak_726,64644151,64744225,100075,AAEL013684,-91304
AaegL5_1,74961040,74961271,232,*,aaeBF_Ac_rep12-kd-q5_peak_846,75063235,75108088,44854,AAEL008024,146817
AaegL5_1,76338017,76338201,185,*,aaeBF_Ac_rep12-kd-q5_peak_857,76392673,76393763,1091,AAEL019620,55562
AaegL5_1,82883112,82883298,187,*,aaeBF_Ac_rep12-kd-q5_peak_953,82804948,82813910,8963,AAEL006824,78164
AaegL5_1,83142448,83142618,171,*,aaeBF_Ac_rep12-kd-q5_peak_955,83180924,83208379,27456,AAEL006830,65761
AaegL5_1,85668682,85668853,172,*,aaeBF_Ac_rep12-kd-q5_peak_982,85797560,85827334,29775,AAEL002943,158481
AaegL5_1,86346850,86347019,170,*,aaeBF_Ac_rep12-kd-q5_peak_991,86261072,86282836,21765,AAEL019831,85778
AaegL5_1,86378234,86378757,524,*,aaeBF_Ac_rep12-kd-q5_peak_992,86261072,86282836,21765,AAEL019831,117162
AaegL5_1,87020860,87021080,221,*,aaeBF_Ac_rep12-kd-q5_peak_995,86542489,86844074,301586,AAEL002932,-176786
AaegL5_1,87898706,87898945,240,*,aaeBF_Ac_rep12-kd-q5_peak_998,88013820,88014362,543,AAEL026450,-114875
AaegL5_1,88374085,88374299,215,*,aaeBF_Ac_rep12-kd-q5_peak_1005,88422966,88425027,2062,AAEL021206,50728
AaegL5_1,94135428,94135791,364,*,aaeBF_Ac_rep12-kd-q5_peak_1117,94036357,94073723,37367,AAEL022775,-61705
AaegL5_1,96420893,96421115,223,*,aaeBF_Ac_rep12-kd-q5_peak_1145,96345314,96364065,18752,AAEL026235,-56828
AaegL5_1,101677119,101677297,179,*,aaeBF_Ac_rep12-kd-q5_peak_1243,101603210,101616586,13377,AAEL002178,73909
AaegL5_1,103638881,103639080,200,*,aaeBF_Ac_rep12-kd-q5_peak_1271,103587396,103625743,38348,AAEL023759,51485
AaegL5_1,103685014,103685295,282,*,aaeBF_Ac_rep12-kd-q5_peak_1272,103587396,103625743,38348,AAEL023759,97618
AaegL5_1,105832908,105833093,186,*,aaeBF_Ac_rep12-kd-q5_peak_1308,105930150,105931838,1689,AAEL025312,-97057
AaegL5_1,106551717,106552151,435,*,aaeBF_Ac_rep12-kd-q5_peak_1309,106646659,106647030,372,AAEL021643,-94508
AaegL5_1,108574990,108575214,225,*,aaeBF_Ac_rep12-kd-q5_peak_1338,108641028,108654995,13968,AAEL027103,79781
AaegL5_1,114628320,114628606,287,*,aaeBF_Ac_rep12-kd-q5_peak_1393,114827193,114827264,72,AAEL028829,198658
AaegL5_1,118370324,118370490,167,*,aaeBF_Ac_rep12-kd-q5_peak_1405,118293088,118295144,2057,AAEL023974,77236
AaegL5_1,122247385,122247576,192,*,aaeBF_Ac_rep12-kd-q5_peak_1511,122364348,122365537,1190,AAEL005770,-116772
AaegL5_1,125608980,125609505,526,*,aaeBF_Ac_rep12-kd-q5_peak_1551,125472615,125566592,93978,AAEL022260,136365
AaegL5_1,125658080,125658270,191,*,aaeBF_Ac_rep12-kd-q5_peak_1552,125745893,126016939,271047,AAEL018112,-87623
AaegL5_1,126174628,126174800,173,*,aaeBF_Ac_rep12-kd-q5_peak_1561,126085505,126096423,10919,AAEL006158,-78205
AaegL5_1,128430763,128431231,469,*,aaeBF_Ac_rep12-kd-q5_peak_1597,128483609,129012978,529370,AAEL021618,-52378
AaegL5_1,131216933,131217112,180,*,aaeBF_Ac_rep12-kd-q5_peak_1628,131347822,131400400,52579,AAEL003041,-130710
AaegL5_1,132015884,132016052,169,*,aaeBF_Ac_rep12-kd-q5_peak_1630,131922505,131947729,25225,AAEL013433,93379
AaegL5_1,132325557,132326044,488,*,aaeBF_Ac_rep12-kd-q5_peak_1631,132142012,132250481,108470,AAEL002740,183545
AaegL5_1,132326874,132327053,180,*,aaeBF_Ac_rep12-kd-q5_peak_1632,132142012,132250481,108470,AAEL002740,184862
AaegL5_1,134579508,134579755,248,*,aaeBF_Ac_rep12-kd-q5_peak_1639,134514342,134515665,1324,AAEL020850,65166
AaegL5_1,138474815,138475764,950,*,aaeBF_Ac_rep12-kd-q5_peak_1693,138541533,138592144,50612,AAEL001628,-65769
AaegL5_1,140955488,140955760,273,*,aaeBF_Ac_rep12-kd-q5_peak_1750,141028957,141035021,6065,AAEL020795,79261
AaegL5_1,141598037,141598203,167,*,aaeBF_Ac_rep12-kd-q5_peak_1751,141689477,141690672,1196,AAEL009514,-91274
AaegL5_1,142117445,142117626,182,*,aaeBF_Ac_rep12-kd-q5_peak_1760,141979952,142039031,59080,AAEL019874,-78414
AaegL5_1,143463358,143463526,169,*,aaeBF_Ac_rep12-kd-q5_peak_1784,143499677,143522554,22878,AAEL013406,59028
AaegL5_1,148501124,148501508,385,*,aaeBF_Ac_rep12-kd-q5_peak_1882,148428950,148475735,46786,AAEL008425,72174
AaegL5_1,148503454,148503644,191,*,aaeBF_Ac_rep12-kd-q5_peak_1883,148428950,148475735,46786,AAEL008425,74504
AaegL5_1,149618167,149618360,194,*,aaeBF_Ac_rep12-kd-q5_peak_1909,149542023,149605250,63228,AAEL011643,76144
AaegL5_1,149619165,149619579,415,*,aaeBF_Ac_rep12-kd-q5_peak_1910,149542023,149605250,63228,AAEL011643,77142
AaegL5_1,150528275,150528464,190,*,aaeBF_Ac_rep12-kd-q5_peak_1929,150452315,150478693,26379,AAEL005504,75960
AaegL5_1,156306835,156307017,183,*,aaeBF_Ac_rep12-kd-q5_peak_1966,156236255,156237562,1308,AAEL025325,-69273
AaegL5_1,156316376,156316611,236,*,aaeBF_Ac_rep12-kd-q5_peak_1967,156367082,156386203,19122,AAEL013305,69592
AaegL5_1,165528204,165528392,189,*,aaeBF_Ac_rep12-kd-q5_peak_2059,165381808,165383503,1696,AAEL024603,-144701
AaegL5_1,167067488,167067759,272,*,aaeBF_Ac_rep12-kd-q5_peak_2069,166930185,166992918,62734,AAEL006711,-74570
AaegL5_1,167078752,167079243,492,*,aaeBF_Ac_rep12-kd-q5_peak_2070,167164241,167261135,96895,AAEL006708,-84998
AaegL5_1,168741288,168741465,178,*,aaeBF_Ac_rep12-kd-q5_peak_2110,168802809,168813254,10446,AAEL022001,-61344
AaegL5_1,169053604,169053964,361,*,aaeBF_Ac_rep12-kd-q5_peak_2115,168936289,168950230,13942,AAEL027134,117315
AaegL5_1,169384613,169384778,166,*,aaeBF_Ac_rep12-kd-q5_peak_2117,169533105,169535604,2500,AAEL023780,150826
AaegL5_1,170250028,170250208,181,*,aaeBF_Ac_rep12-kd-q5_peak_2119,170394142,170804064,409923,AAEL000123,-143934
AaegL5_1,171572477,171573127,651,*,aaeBF_Ac_rep12-kd-q5_peak_2140,171520235,171522036,1802,AAEL008456,-50441
AaegL5_1,171651906,171652229,324,*,aaeBF_Ac_rep12-kd-q5_peak_2141,171520235,171522036,1802,AAEL008456,-129870
AaegL5_1,172253514,172254005,492,*,aaeBF_Ac_rep12-kd-q5_peak_2145,172390998,172747574,356577,AAEL007579,-136993
AaegL5_1,174504219,174504383,165,*,aaeBF_Ac_rep12-kd-q5_peak_2203,174336990,174337613,624,AAEL021833,167229
AaegL5_1,174521597,174521776,180,*,aaeBF_Ac_rep12-kd-q5_peak_2204,174336990,174337613,624,AAEL021833,184607
AaegL5_1,176084004,176084234,231,*,aaeBF_Ac_rep12-kd-q5_peak_2207,175958179,175958913,735,AAEL020410,-125091
AaegL5_1,177781913,177782477,565,*,aaeBF_Ac_rep12-kd-q5_peak_2249,177635067,177726653,91587,AAEL002741,146846
